,Lat,Lon,Alt
1989,32.39,-125.6,0.0
1990,32.39,-125.1,0.0
1991,32.39,-124.6,0.0
1992,32.39,-124.1,0.0
1993,32.39,-123.6,0.0
1994,32.39,-123.1,0.0
1995,32.39,-122.6,0.0
1996,32.39,-122.1,0.0
1997,32.39,-121.6,0.0
1998,32.39,-121.1,0.0
1999,32.39,-120.6,0.0
2000,32.39,-120.1,0.0
2001,32.39,-119.6,0.0
2002,32.39,-119.1,0.0
2003,32.39,-118.6,0.0
2004,32.39,-118.1,0.0
2005,32.39,-117.6,0.0
2006,32.39,-117.1,0.0
2007,32.39,-116.6,410.0
2008,32.39,-116.1,1434.0
2009,32.39,-115.6,0.0
2010,32.39,-115.1,16.0
2011,32.39,-114.6,43.0
2012,32.39,-114.1,328.0
2013,32.39,-113.6,245.0
2014,32.39,-113.1,396.0
2015,32.39,-112.6,774.0
2016,32.39,-112.1,713.0
2017,32.39,-111.6,656.0
2018,32.39,-111.1,676.0
2019,32.39,-110.6,1117.0
2020,32.39,-110.1,1983.0
2021,32.39,-109.6,1243.0
2022,32.39,-109.1,1637.0
2023,32.39,-108.6,1432.0
2024,32.39,-108.1,1478.0
2025,32.39,-107.6,1368.0
2026,32.39,-107.1,1433.0
2027,32.39,-106.6,1603.0
2028,32.39,-106.1,1306.0
2029,32.39,-105.6,1433.0
2030,32.39,-105.1,1313.0
2031,32.39,-104.6,1256.0
2032,32.39,-104.1,937.0
2033,32.39,-103.6,1097.0
2034,32.39,-103.1,1020.0
2035,32.39,-102.6,983.0
2036,32.39,-102.1,882.0
2037,32.39,-101.6,788.0
2038,32.39,-101.1,670.0
2039,32.39,-100.6,745.0
2040,32.39,-100.1,625.0
2041,32.39,-99.6,583.0
2042,32.39,-99.1,489.0
2043,32.39,-98.6,443.0
2044,32.39,-98.1,300.0
2045,32.39,-97.6,252.0
2046,32.39,-97.1,200.0
2047,32.39,-96.6,142.0
2048,32.39,-96.1,116.0
2049,32.39,-95.6,172.0
2050,32.39,-95.1,137.0
